City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
247,Marzuq,YE,2022-05-31 04:06:43,14.4,46.4667,83.17,21,34,2.51
248,Mizdah,LY,2022-05-31 04:06:43,31.4451,12.9801,75.07,27,40,3.78
249,Shelburne,CA,2022-05-31 04:06:44,44.0787,-80.2041,72.36,64,100,16.2
250,Angoche,MZ,2022-05-31 04:06:44,-16.2325,39.9086,72.54,78,0,7.63
251,Santa Isabel,BR,2022-05-31 04:06:45,-23.3156,-46.2214,65.5,96,100,2.28
252,Coihaique,CL,2022-05-31 04:06:45,-45.5752,-72.0662,25.41,93,0,2.3
253,Springfield,US,2022-05-31 03:58:58,37.2153,-93.2982,77.29,71,19,7.0
254,Marsaxlokk,MT,2022-05-31 04:06:46,35.8419,14.5431,71.08,73,0,6.91
255,Polyarnyye Zori,RU,2022-05-31 04:06:46,67.3661,32.4981,48.42,47,10,5.91
256,Puerto Del Rosario,ES,2022-05-31 04:03:10,28.5004,-13.8627,65.95,72,0,4.61
257,Paamiut,GL,2022-05-31 04:06:46,61.994,-49.6678,34.86,93,100,1.79
258,Imuris,MX,2022-05-31 04:06:47,30.7833,-110.8667,70.45,25,0,3.94
259,Caruray,PH,2022-05-31 04:06:47,10.3094,119.0128,86.34,66,99,6.62
260,Guerrero Negro,MX,2022-05-31 04:06:47,27.9769,-114.0611,60.96,82,7,16.04
261,Kawalu,ID,2022-05-31 04:06:48,-7.3817,108.2082,85.21,64,29,3.38
262,Gat,IL,2022-05-31 04:06:48,31.61,34.7642,78.4,59,0,2.48
263,Jiangyou,CN,2022-05-31 04:06:49,31.7667,104.7167,77.92,64,99,6.2
264,Gorodets,RU,2022-05-31 04:06:49,56.6514,43.475,57.04,70,100,0.98
265,Vila Velha,BR,2022-05-31 04:06:49,-20.3297,-40.2925,67.95,94,0,0.0
266,Bereda,ES,2022-05-31 04:06:50,43.2686,-7.5406,57.42,99,100,1.54
267,Solnechnyy,RU,2022-05-31 04:06:50,50.7214,136.6319,61.81,54,100,6.2
268,Nassau,US,2022-05-31 04:06:51,40.7507,-73.5829,79.99,71,0,8.05
269,Balykshi,KZ,2022-05-31 04:06:51,47.0667,51.8667,75.2,38,0,8.95
270,Banjarmasin,ID,2022-05-31 04:06:51,-3.3244,114.591,91.54,53,17,1.25
271,Lesnoy,RU,2022-05-31 04:06:52,57.6198,63.0784,49.15,92,100,7.9
272,Zyryanka,RU,2022-05-31 04:06:52,65.75,150.85,63.61,47,94,1.97
273,Naze,JP,2022-05-31 04:06:53,28.3667,129.4833,73.62,79,100,8.05
274,Maniitsoq,GL,2022-05-31 04:06:53,65.4167,-52.9,39.15,71,10,9.84
275,Areka,ET,2022-05-31 04:06:53,7.0667,37.7,59.25,93,29,2.04
276,Cockburn Town,TC,2022-05-31 04:03:26,21.4612,-71.1419,80.11,81,100,19.33
277,Georgetown,MY,2022-05-31 04:07:54,5.4112,100.3354,87.73,70,40,3.44
278,Anadyr,RU,2022-05-31 04:07:55,64.75,177.4833,50.5,53,20,11.18
279,Palmer,US,2022-05-31 04:07:55,42.1584,-72.3287,74.48,74,0,10.36
280,Dunedin,NZ,2022-05-31 04:04:35,-45.8742,170.5036,64.8,51,2,3.0
281,Bridgewater,CA,2022-05-31 04:07:55,44.3835,-64.5155,51.35,82,100,8.14
282,Matara,LK,2022-05-31 04:06:33,5.9485,80.5353,76.35,93,100,14.18
283,Watari,JP,2022-05-31 04:07:56,38.035,140.8511,59.77,94,75,3.44
284,Bengkulu,ID,2022-05-31 04:07:56,-3.8004,102.2655,84.83,66,75,6.82
285,Praia,CV,2022-05-31 04:07:57,14.9215,-23.5087,73.94,64,20,9.22
286,Marsabit,KE,2022-05-31 04:07:57,2.3284,37.9899,60.67,84,13,16.4
287,Forio,IT,2022-05-31 04:07:58,40.7342,13.8646,69.53,85,58,1.99
288,Tuatapere,NZ,2022-05-31 04:07:58,-46.1333,167.6833,59.65,70,58,6.87
289,Verkhnechusovskiye Gorodki,RU,2022-05-31 04:07:58,58.1671,57.1086,51.8,92,100,7.72
290,Zhezkazgan,KZ,2022-05-31 04:07:59,47.8043,67.7144,78.78,24,0,8.95
291,Sturgis,US,2022-05-31 04:07:59,41.7992,-85.4192,78.6,65,0,8.05
292,Ulundi,ZA,2022-05-31 04:08:00,-28.3352,31.4162,47.39,79,0,5.03
293,Natal,BR,2022-05-31 04:04:22,-5.795,-35.2094,75.85,100,40,3.44
